canton,skill,vacancy_count,rank,share_within_group
AG,postgres,1,15,0.008
AG,powershell,1,15,0.008
AG,project_management,1,15,0.008
AG,qa_testing,1,15,0.008
AG,quality assurance,1,15,0.008
AG,redis,1,15,0.008
AG,relational databases,1,15,0.008
AG,requirements_engineering,1,15,0.008
AG,s7,1,15,0.008
AG,scala,1,15,0.008
AG,six sigma,1,15,0.008
AG,spark,1,15,0.008
AG,spring,1,15,0.008
AG,t-sql,1,15,0.008
AG,testing,1,15,0.008
AG,vmware,1,15,0.008
AG,windows server,1,15,0.008
AG,winforms,1,15,0.008
AR,java,6,1,0.3529
AR,agile,5,2,0.2941
AR,ci_cd,4,3,0.2353
AR,devops,4,3,0.2353
AR,cloudstack,2,4,0.1176
AR,elasticsearch,2,4,0.1176
AR,hibernate,2,4,0.1176
AR,microservices,2,4,0.1176
AR,mysql,2,4,0.1176
AR,nextjs,2,4,0.1176
AR,react,2,4,0.1176
AR,typescript,2,4,0.1176
AR,c++,1,5,0.0588
AR,clean_code,1,5,0.0588
AR,csharp,1,5,0.0588
AR,dotnet,1,5,0.0588
AR,itil,1,5,0.0588
AR,kubernetes,1,5,0.0588
AR,liferay,1,5,0.0588
AR,mariadb,1,5,0.0588
AR,qt,1,5,0.0588
AR,scrum,1,5,0.0588
BE,agile,156,1,0.2905
BE,ci_cd,118,2,0.2197
BE,devops,106,3,0.1974
BE,java,82,4,0.1527
BE,sql,71,5,0.1322
BE,python,70,6,0.1304
BE,azure,53,7,0.0987
BE,ansible,50,8,0.0931
BE,angular,47,9,0.0875
BE,spring,46,10,0.0857
BE,kubernetes,41,11,0.0764
BE,aws,39,12,0.0726
BE,scrum,32,13,0.0596
BE,react,30,14,0.0559
BE,devsecops,29,15,0.054
BE,dotnet,28,16,0.0521
BE,microservices,28,16,0.0521
BE,postgresql,28,16,0.0521
BE,safe,28,16,0.0521
BE,terraform,27,17,0.0503
BE,typescript,24,18,0.0447
BE,docker,23,19,0.0428
BE,csharp,22,20,0.041
BE,javascript,22,20,0.041
BE,openshift,22,20,0.041
BL,agile,12,1,0.2667
BL,azure,8,2,0.1778
BL,devops,6,3,0.1333
BL,c,5,4,0.1111
BL,ci_cd,3,5,0.0667
BL,python,3,5,0.0667
BL,sql,3,5,0.0667
BL,aws,2,6,0.0444
BL,gcp,2,6,0.0444
BL,laravel,2,6,0.0444
BL,boost,1,7,0.0222
BL,databricks,1,7,0.0222
BL,dbt,1,7,0.0222
BL,docker,1,7,0.0222
BL,etl,1,7,0.0222
BL,github actions,1,7,0.0222
BL,integration projects,1,7,0.0222
BL,java,1,7,0.0222
BL,m365,1,7,0.0222
BL,ms-sql,1,7,0.0222
BL,private cloud,1,7,0.0222
BL,process analysis,1,7,0.0222
BL,public cloud,1,7,0.0222
BL,requirement management,1,7,0.0222
BL,rust,1,7,0.0222
BL,sap s/4hana,1,7,0.0222
BL,snowflake,1,7,0.0222
BL,terraform,1,7,0.0222
BL,warehouse-management-systeme,1,7,0.0222
BL,wms,1,7,0.0222
BS,ci_cd,30,1,0.2419
BS,devops,24,2,0.1935
BS,azure,23,3,0.1855
BS,python,21,4,0.1694
BS,agile,17,5,0.1371
BS,aws,13,6,0.1048
BS,sql,11,7,0.0887
BS,terraform,9,8,0.0726
BS,javascript,7,9,0.0565
BS,ansible,6,10,0.0484
BS,dotnet,6,10,0.0484
BS,gcp,6,10,0.0484
BS,java,6,10,0.0484
BS,kubernetes,6,10,0.0484
BS,oracle,5,11,0.0403
BS,react,5,11,0.0403
BS,spark,5,11,0.0403
BS,angular,4,12,0.0323
BS,csharp,4,12,0.0323
BS,etl,4,12,0.0323
BS,mssql,4,12,0.0323
BS,typescript,4,12,0.0323
BS,microservices,3,13,0.0242
BS,postgresql,3,13,0.0242
BS,spring,3,13,0.0242
BS,c++,2,14,0.0161
BS,databricks,2,14,0.0161
BS,dbt,2,14,0.0161
BS,docker,2,14,0.0161
BS,gitlab ci/cd,2,14,0.0161
BS,itil,2,14,0.0161
BS,kafka,2,14,0.0161
BS,rails,2,14,0.0161
BS,sap fi/co,2,14,0.0161
BS,snowflake,2,14,0.0161
BS,test_automation,2,14,0.0161
BS,vmware,2,14,0.0161
BS,aks,1,15,0.0081
BS,apache,1,15,0.0081
BS,azure_devops,1,15,0.0081
BS,bi,1,15,0.0081
BS,c,1,15,0.0081
BS,cisco,1,15,0.0081
BS,clean_code,1,15,0.0081
BS,container,1,15,0.0081
BS,controller-runtime,1,15,0.0081
BS,data-warehouse,1,15,0.0081
BS,dell vxrail,1,15,0.0081
BS,devsecops,1,15,0.0081
BS,entra id,1,15,0.0081
BS,envoy gateway,1,15,0.0081
BS,fluentd,1,15,0.0081
BS,gitops,1,15,0.0081
BS,go,1,15,0.0081
BS,google cloud,1,15,0.0081
BS,intune,1,15,0.0081
BS,iso27k,1,15,0.0081
BS,itsm,1,15,0.0081
BS,kubebuilder,1,15,0.0081
BS,m365,1,15,0.0081
BS,mariadb,1,15,0.0081
BS,microsoft 365,1,15,0.0081
BS,mongodb,1,15,0.0081
BS,ms sql,1,15,0.0081
BS,nist csf 2.0,1,15,0.0081
BS,openshift,1,15,0.0081
BS,palo alto,1,15,0.0081
BS,prometheus,1,15,0.0081
BS,proxmox,1,15,0.0081
BS,prtg,1,15,0.0081
BS,pytorch,1,15,0.0081
BS,rust,1,15,0.0081
BS,s/4 hana,1,15,0.0081
BS,s/4hana,1,15,0.0081
BS,sap,1,15,0.0081
BS,sap mm,1,15,0.0081
BS,sap s/4hana,1,15,0.0081
BS,scala,1,15,0.0081
BS,swift,1,15,0.0081
BS,terragrunt,1,15,0.0081
BS,tomcat,1,15,0.0081
BS,trivy,1,15,0.0081
BS,velero,1,15,0.0081
BS,windows app sdk,1,15,0.0081
BS,windows_server,1,15,0.0081
BS,winui,1,15,0.0081
BS,xaml,1,15,0.0081
FR,agile,8,1,0.2963
FR,devops,6,2,0.2222
FR,python,6,2,0.2222
FR,sql,5,3,0.1852
FR,ci_cd,4,4,0.1481
FR,gcp,4,4,0.1481
FR,javascript,4,4,0.1481
FR,csharp,3,5,0.1111
FR,microservices,3,5,0.1111
FR,airflow,2,6,0.0741
FR,azure,2,6,0.0741
FR,bigquery,2,6,0.0741
FR,dbt,2,6,0.0741
FR,dotnet,2,6,0.0741
FR,etl,2,6,0.0741
FR,fastapi,2,6,0.0741
FR,java,2,6,0.0741
FR,postgresql,2,6,0.0741
FR,angular,1,7,0.037
FR,azure_devops,1,7,0.037
FR,docker,1,7,0.037
FR,endpoint manager,1,7,0.037
FR,excel,1,7,0.037
FR,hermes,1,7,0.037
FR,intune,1,7,0.037
FR,itil,1,7,0.037
FR,kotlin,1,7,0.037
FR,linux,1,7,0.037
FR,mariadb,1,7,0.037
FR,ms sql server,1,7,0.037
FR,mssql,1,7,0.037
FR,oracle,1,7,0.037
FR,power apps,1,7,0.037
FR,power bi,1,7,0.037
FR,power platform,1,7,0.037
FR,qliksense,1,7,0.037
FR,rest_api,1,7,0.037
FR,sap hana,1,7,0.037
FR,spring,1,7,0.037
FR,sql server,1,7,0.037
FR,test_automation,1,7,0.037
GE,python,88,1,0.2803
GE,sql,69,2,0.2197
GE,agile,63,3,0.2006
GE,devops,56,4,0.1783
GE,ci_cd,51,5,0.1624
GE,aws,44,6,0.1401
GE,java,42,7,0.1338
GE,azure,31,8,0.0987
GE,kubernetes,23,9,0.0732
GE,etl,18,10,0.0573
GE,gcp,17,11,0.0541
GE,oracle,17,11,0.0541
GE,javascript,16,12,0.051
GE,typescript,16,12,0.051
GE,angular,15,13,0.0478
GE,csharp,14,14,0.0446
GE,postgresql,14,14,0.0446
GE,snowflake,14,14,0.0446
GE,databricks,13,15,0.0414
GE,docker,13,15,0.0414
GE,react,13,15,0.0414
GE,spark,13,15,0.0414
GE,ansible,12,16,0.0382
GE,terraform,12,16,0.0382
GE,test_automation,12,16,0.0382
GE,dbt,11,17,0.035
GE,microservices,11,17,0.035
GE,spring,10,18,0.0318
GE,dotnet,9,19,0.0287
GE,mysql,9,19,0.0287
GE,openshift,9,19,0.0287
GE,php,9,19,0.0287
GE,rust,9,19,0.0287
GE,devsecops,8,20,0.0255
GE,mssql,8,20,0.0255
GL,aws,1,1,0.5
GL,azure,1,1,0.5
GL,ci_cd,1,1,0.5
GL,devops,1,1,0.5
GL,gcp,1,1,0.5
GL,javascript,1,1,0.5
GL,microservices,1,1,0.5
GL,rest_api,1,1,0.5
GR,python,3,1,0.1
GR,dotnet,2,2,0.0667
GR,java,2,2,0.0667
GR,sql,2,2,0.0667
GR,agile,1,3,0.0333
GR,angular,1,3,0.0333
GR,c++,1,3,0.0333
GR,ci_cd,1,3,0.0333
GR,clean_code,1,3,0.0333
GR,csharp,1,3,0.0333
GR,devops,1,3,0.0333
GR,docker,1,3,0.0333
GR,kubernetes,1,3,0.0333
GR,linux,1,3,0.0333
GR,microsoft 365,1,3,0.0333
GR,mssql,1,3,0.0333
GR,postgresql,1,3,0.0333
GR,power platform,1,3,0.0333
GR,react,1,3,0.0333
GR,rust,1,3,0.0333
GR,sharepoint,1,3,0.0333
GR,spring,1,3,0.0333
GR,svelte,1,3,0.0333
GR,swift,1,3,0.0333
GR,teams,1,3,0.0333
GR,typescript,1,3,0.0333
GR,windows,1,3,0.0333
LU,agile,27,1,0.27
LU,azure,16,2,0.16
LU,python,14,3,0.14
LU,ci_cd,13,4,0.13
LU,devops,11,5,0.11
LU,angular,8,6,0.08
LU,sql,8,6,0.08
LU,ansible,7,7,0.07
LU,java,6,8,0.06
LU,react,6,8,0.06
LU,dotnet,5,9,0.05
LU,itil,5,9,0.05
LU,openshift,5,9,0.05
LU,clean_code,4,10,0.04
LU,postgresql,4,10,0.04
LU,terraform,4,10,0.04
LU,typescript,4,10,0.04
LU,csharp,3,11,0.03
LU,javascript,3,11,0.03
LU,kubernetes,3,11,0.03
LU,safe,3,11,0.03
LU,scrum,3,11,0.03
LU,test_automation,3,11,0.03
LU,vmware,3,11,0.03
LU,camunda,2,12,0.02
LU,databricks,2,12,0.02
LU,docker,2,12,0.02
LU,fastapi,2,12,0.02
LU,flask,2,12,0.02
LU,flowable,2,12,0.02
LU,jboss,2,12,0.02
LU,mssql,2,12,0.02
LU,office 365,2,12,0.02
LU,oracle,2,12,0.02
LU,spring,2,12,0.02
LU,weblogic,2,12,0.02
LU,appium,1,13,0.01
LU,argocd,1,13,0.01
LU,azure data factory,1,13,0.01
LU,azure data lake,1,13,0.01
LU,browser library,1,13,0.01
LU,c,1,13,0.01
LU,ci / cd build server,1,13,0.01
LU,ci/cd,1,13,0.01
LU,citrix,1,13,0.01
LU,clean architecture,1,13,0.01
LU,cloud,1,13,0.01
LU,code reviews,1,13,0.01
LU,code_reviews,1,13,0.01
LU,cqrs,1,13,0.01
LU,ddd,1,13,0.01
LU,devsecops,1,13,0.01
LU,elasticsearch,1,13,0.01
LU,exchange,1,13,0.01
LU,flaui,1,13,0.01
LU,helm,1,13,0.01
LU,hp msa storage,1,13,0.01
LU,hyper-v,1,13,0.01
LU,integration tests,1,13,0.01
LU,integration_tests,1,13,0.01
LU,it4it,1,13,0.01
LU,itil v4,1,13,0.01
LU,jenkins,1,13,0.01
LU,lean,1,13,0.01
LU,microsoft azure,1,13,0.01
LU,microsoft sql,1,13,0.01
LU,microsoft sql server,1,13,0.01
LU,ms,1,13,0.01
LU,ms sql,1,13,0.01
LU,opacc cloud center (schweiz),1,13,0.01
LU,pair programming,1,13,0.01
LU,pair_programming,1,13,0.01
LU,php,1,13,0.01
LU,pl/sql,1,13,0.01
LU,power bi,1,13,0.01
LU,robot framework,1,13,0.01
LU,static code analysis,1,13,0.01
LU,swift,1,13,0.01
LU,symfony,1,13,0.01
LU,tcp/ip,1,13,0.01
LU,telerik,1,13,0.01
LU,togaf,1,13,0.01
LU,unit tests,1,13,0.01
LU,unit_tests,1,13,0.01
LU,veeam backup,1,13,0.01
LU,version control,1,13,0.01
LU,vuejs,1,13,0.01
LU,wcf,1,13,0.01
LU,windows server,1,13,0.01
LU,wpf,1,13,0.01
NE,python,19,1,0.4222
NE,agile,10,2,0.2222
NE,ci_cd,8,3,0.1778
NE,c,4,4,0.0889
NE,kubernetes,4,4,0.0889
NE,laravel,4,4,0.0889
NE,php,4,4,0.0889
NE,devops,3,5,0.0667
NE,docker,3,5,0.0667
NE,elasticsearch,3,5,0.0667
NE,go,3,5,0.0667
NE,mysql,3,5,0.0667
NE,redis,3,5,0.0667
NE,sql,3,5,0.0667
NE,angular,2,6,0.0444
NE,ansible,2,6,0.0444
NE,csharp,2,6,0.0444
NE,etl,2,6,0.0444
NE,javascript,2,6,0.0444
NE,microservices,2,6,0.0444
NE,power bi,2,6,0.0444
NE,test_automation,2,6,0.0444
NE,altium designer,1,7,0.0222
NE,autosar,1,7,0.0222
NE,azure,1,7,0.0222
NE,blazor,1,7,0.0222
NE,c++,1,7,0.0222
NE,can,1,7,0.0222
NE,clickhouse,1,7,0.0222
NE,continuous improvement,1,7,0.0222
NE,cycle en v,1,7,0.0222
NE,dart,1,7,0.0222
NE,data integration,1,7,0.0222
NE,django,1,7,0.0222
NE,elastic,1,7,0.0222
NE,excel,1,7,0.0222
NE,flutter,1,7,0.0222
NE,gitlab,1,7,0.0222
NE,gitlab_ci,1,7,0.0222
NE,grafana,1,7,0.0222
NE,helm,1,7,0.0222
NE,java,1,7,0.0222
NE,lean,1,7,0.0222
NE,mariadb,1,7,0.0222
NE,microsoft excel,1,7,0.0222
NE,non-autosar,1,7,0.0222
NE,nuxt,1,7,0.0222
NE,prometheus,1,7,0.0222
NE,rabbitmq,1,7,0.0222
NE,sac,1,7,0.0222
NE,sap analysis cloud,1,7,0.0222
NE,sap analytics cloud,1,7,0.0222
NE,sap bw,1,7,0.0222
NE,sap bw analysis,1,7,0.0222
NE,sap erp,1,7,0.0222
NE,spring,1,7,0.0222
NE,typescript,1,7,0.0222
NE,v-cycle,1,7,0.0222
NW,agile,4,1,0.5714
NW,angular,2,2,0.2857
NW,java,2,2,0.2857
NW,javascript,2,2,0.2857
NW,python,2,2,0.2857
NW,react,2,2,0.2857
NW,sql,2,2,0.2857
NW,vue,2,2,0.2857
NW,aws,1,3,0.1429
NW,c++,1,3,0.1429
NW,devops,1,3,0.1429
NW,gcp,1,3,0.1429
NW,nodejs,1,3,0.1429
NW,nosql,1,3,0.1429
NW,r,1,3,0.1429
NW,ruby,1,3,0.1429
OW,python,3,1,0.5
OW,ci_cd,2,2,0.3333
OW,csharp,2,2,0.3333
OW,agile,1,3,0.1667
OW,clean_code,1,3,0.1667
OW,data_analytics,1,3,0.1667
OW,dotnet,1,3,0.1667
OW,itil,1,3,0.1667
OW,low-code,1,3,0.1667
OW,pytorch,1,3,0.1667
OW,scrum,1,3,0.1667
OW,servicenow,1,3,0.1667
OW,sql,1,3,0.1667
OW,test_automation,1,3,0.1667
OW,wpf,1,3,0.1667
SG,sql,13,1,0.1512
SG,agile,8,2,0.093
SG,azure,8,2,0.093
SG,ci_cd,8,2,0.093
SG,devops,8,2,0.093
SG,aws,6,3,0.0698
SG,java,6,3,0.0698
SG,angular,5,4,0.0581
SG,python,5,4,0.0581
SG,terraform,5,4,0.0581
